source_file,distribution,num_simulations,network_optimistic,network_pessimistic,network_most_likely,pert_critical,pert_sd,bb2_critical_mean,bb2_critical_sd,bb2_critical_p99,bb2_critical_p10,bb2_critical_p25,lognormal_critical_mean,lognormal_critical_sd,lognormal_critical_p99,lognormal_critical_p10,lognormal_critical_p25,sim_mean,sim_std,sim_min,sim_p10,sim_p25,sim_max,sim_p50,sim_p90,sim_p95,sim_p99,pert_p1,pert_p10,pert_p20,pert_p25,pert_p30,pert_p40,pert_p50,pert_p60,pert_p70,pert_p75,pert_p80,pert_p90,pert_p95,pert_p99,pert_p99_9,bb2_p1,bb2_p10,bb2_p20,bb2_p25,bb2_p30,bb2_p40,bb2_p50,bb2_p60,bb2_p70,bb2_p75,bb2_p80,bb2_p90,bb2_p95,bb2_p99,bb2_p99_9,lognormal_p1,lognormal_p10,lognormal_p20,lognormal_p25,lognormal_p30,lognormal_p40,lognormal_p50,lognormal_p60,lognormal_p70,lognormal_p75,lognormal_p80,lognormal_p90,lognormal_p95,lognormal_p99,lognormal_p99_9,sim_p1,sim_p20,sim_p30,sim_p40,sim_p60,sim_p70,sim_p75,sim_p80,sim_p99_9,SP,TF,AD,LA,number_of_nodes,is_beta,is_lognormal,simulation_runtime_seconds
Set 1 SP_EV1,triangular,600,20.8,31.2,26,26.0,1.024152766382481,26.0,0.8666666666666666,27.981073030072075,24.878892398564467,25.40486850446317,26.588046009555534,1.5749078407911508,31.200000000000003,24.76531180101081,25.463766889407943,25.96746362307309,1.2490814462366233,22.44530505360133,24.31506643844356,25.071369029871935,29.522149787593946,25.973956969792628,27.506706514482605,28.0032757701165,28.866237872365502,21.898654372928053,23.365019114200052,24.196618553550675,24.53813611381233,24.854110845521966,25.44104261385932,26.0,26.55895738614068,27.145889154478034,27.461863886187672,27.803381446449325,28.634980885799948,29.23174407464718,30.101345627071947,30.705460258975258,24.01892696992792,24.878892398564467,25.258762705886767,25.40486850446317,25.53669470184157,25.775826373259722,26.0,26.224173626740278,26.46330529815843,26.59513149553683,26.741237294113233,27.121107601435533,27.427974717415495,27.981073030072075,28.556478042265447,23.799242579239568,24.76531180101081,25.260037221724343,25.463766889407943,25.654641421832128,26.01936116349203,26.3849904967771,26.776233176609,27.2252158169323,27.488181375431115,27.79369036519074,28.666245939950812,29.468314889644645,31.200000000000003,33.55542886097446,23.209420912477164,24.88483114554197,25.24304417815154,25.649324360883814,26.35004276857407,26.700970463634462,26.86083048163505,27.02051026972741,29.295978924012438,0.069,0.519,0.444,0.032,30,0,0,0.014722899999469519
Set 1 SP_EV10,triangular,600,16.0,24.0,20,20.0,0.7717224601860149,20.0,0.6666666666666666,21.523902330824676,19.13760953735728,19.542206541894746,20.452343084273487,1.2114675698393464,24.0,19.05023984693139,19.58751299185226,20.102620447454633,0.9643525234379466,16.949280852015068,18.86152661254933,19.4479126795678,23.666826558221416,20.081156779132193,21.310824882806262,21.68298483643017,22.20309382229834,16.845118748406193,17.973091626307735,18.61278350273129,18.87548931831718,19.118546804247668,19.570032779891783,20.0,20.429967220108217,20.881453195752332,21.12451068168282,21.38721649726871,22.026908373692265,22.485956980497832,23.154881251593807,23.61958481459635,18.476097669175324,19.13760953735728,19.429817466066744,19.542206541894746,19.6436113091089,19.827558748661325,20.0,20.172441251338675,20.3563886908911,20.457793458105254,20.570182533933256,20.86239046264272,21.09844209031961,21.523902330824676,21.96652157097342,18.30710967633813,19.05023984693139,19.43079786286488,19.58751299185226,19.73433955525548,20.014893202686174,20.29614653598238,20.597102443545385,20.94247370533254,21.14475490417778,21.379761819377492,22.050958415346777,22.667934530495877,24.0,25.811868354595738,17.894825559503442,19.297175215472453,19.587333366804035,19.847713495869968,20.370693514446604,20.632103039868795,20.756240592141214,20.89936964841831,23.1967581845926,0.069,0.815,0.778,0.0,30,0,0,0.029098199971485883
Set 1 SP_EV100,triangular,600,16.0,24.0,20,20.0,0.9428090415820634,20.0,0.6666666666666666,21.523902330824676,19.13760953735728,19.542206541894746,20.452343084273487,1.2114675698393464,24.0,19.05023984693139,19.58751299185226,20.108950626008642,1.077151377856967,17.25802991206852,18.64873315533401,19.39968110166366,23.376509819414057,20.107774861547043,21.535314978627955,21.882094157098553,22.470938655272487,16.845118748406193,17.973091626307735,18.61278350273129,18.87548931831718,19.118546804247668,19.570032779891783,20.0,20.429967220108217,20.881453195752332,21.12451068168282,21.38721649726871,22.026908373692265,22.485956980497832,23.154881251593807,23.61958481459635,18.476097669175324,19.13760953735728,19.429817466066744,19.542206541894746,19.6436113091089,19.827558748661325,20.0,20.172441251338675,20.3563886908911,20.457793458105254,20.570182533933256,20.86239046264272,21.09844209031961,21.523902330824676,21.96652157097342,18.30710967633813,19.05023984693139,19.43079786286488,19.58751299185226,19.73433955525548,20.014893202686174,20.29614653598238,20.597102443545385,20.94247370533254,21.14475490417778,21.379761819377492,22.050958415346777,22.667934530495877,24.0,25.811868354595738,17.654043075614116,19.165050244612445,19.53429123388486,19.840529959389432,20.381532031461177,20.66599982573655,20.878918900562688,21.029117673664206,22.948227036674247,0.069,0.667,0.667,0.072,30,0,0,0.04649839998455718
Set 1 SP_EV101,triangular,600,22.400000000000002,33.6,28,28.0,0.9933109617167558,28.0,0.9333333333333332,30.133463263154546,26.792653352300196,27.359089158652647,28.633280317982884,1.696054597775085,33.6,26.67033578570395,27.42251818859317,28.466537603627295,1.1647774219421196,25.393490917975086,26.98975500723904,27.628340386199714,31.61481187591739,28.418622177218456,30.048748795546192,30.53902955431954,31.02758696763591,23.583166247768673,25.162328276830827,26.057896903823806,26.425685045644048,26.765965525946733,27.3980458918485,28.0,28.601954108151503,29.234034474053267,29.574314954355955,29.942103096176197,30.837671723169173,31.48033977269697,32.41683375223133,33.067418740434896,25.866536736845454,26.792653352300196,27.201744452493443,27.359089158652647,27.501055832752453,27.758582248125855,28.0,28.241417751874145,28.498944167247544,28.64091084134735,28.79825554750656,29.207346647699808,29.537818926447457,30.133463263154546,30.753130199362786,25.629953546873384,26.67033578570395,27.20311700801083,27.42251818859317,27.628075377357675,28.020850483760647,28.414605150375337,28.835943420963538,29.31946318746556,29.602656865848893,29.93166654712849,30.871341781485487,31.735108342694232,33.6,36.136615696434035,25.94996476491217,27.479055065720477,27.813096156979935,28.126855688771247,28.733370806087756,29.062918603989118,29.225730128203125,29.463683426830016,31.447498742058375,0.172,0.4,0.45,0.104,30,0,0,0.07584450003923848
