PC1,PC2,PC3
-1.9804988232182241,1.0319004938515783,0.2833470588977907
-1.322564478924185,2.2145417890139307,1.4402017702181225
-1.5706034433351281,1.5503663466859565,1.1764450728453302
-1.680584812671315,0.5335368808137533,0.24517477841587396
-1.516878012357653,0.6277479056941725,0.3086937109376096
-1.9152693132782683,0.624703427021126,-0.27406368563025546
-1.3650466674503736,1.8236615052491987,0.8496722699389547
-2.002906609733506,0.14108093683698122,-0.6858170715701504
-1.6075864628734333,0.7270548889179875,0.3289102543708249
-1.6559241489386551,0.37445283163535564,-0.12518144649759227
-1.5279781367335743,1.379732168353297,0.45066933346905236
-1.8415539771408975,0.7169768224498062,-0.2021710017530156
-2.4619178379525466,0.12171420774819958,-0.47804942016786073
-1.806286119135402,-0.1674409509388491,-0.20138827443481006
-1.7726079895657307,0.7617442136799089,-0.15368287501670588
-1.806751635500269,0.2667904730241115,-0.4309074874645893
-1.429240828488857,1.2857076226836062,0.6082349364849132
-1.7824310087536366,-0.41805111902220515,0.05102346761905541
-1.5505696899319283,1.110667572222983,-0.08026552220570392
-1.926582821771237,1.1183928260759806,0.057102250485042416
-1.7684538511620562,1.2245005402403468,0.14582189234964404
-2.0723228110009475,0.37698392483198323,-0.38714823092863143
-1.4690104329452713,0.0866101175476545,0.34498858376933494
-2.305342217440676,0.6348607616019414,0.04815761780434619
-1.8076896906801845,0.19940416864193464,-0.2867673397338541
-1.2230641978606243,2.064852935346847,0.9759291883270579
-1.8353604534654637,-0.1298936267146041,-0.3223085427920702
-1.6555882595932798,-0.10452654228394034,0.14706692524143292
-1.5356790017679394,1.3132984950599078,0.2770197106774143
-1.4703074183952427,0.7466847647473164,0.05940291660298463
-2.2869478464600648,-0.29583832994221726,-0.9594011163261019
-1.9693215182540398,-0.6350682573107076,-0.09665123655953121
-2.12678976641028,-0.771448184147027,-0.7141777196135957
-1.7447052132129366,-0.5040045111046887,-0.1599128438264929
-1.914481522744632,1.0180496373596823,0.5518062965517838
-2.0385347757281713,-0.16691105247961427,-0.44660976966873683
-1.9797381441616222,0.24836745455577858,-0.5900336247479386
-1.9481085671941973,-0.1892734058619287,-0.48603971630383164
-0.9753785008100989,2.1869431308084475,1.0939319894329504
-1.8089787794793513,0.4416506776615658,-0.30423715881861807
-1.5824145850450002,0.2315738577872309,0.12018664040500608
-1.8320454622475435,0.6381147386405341,-0.12916247217590787
-1.7607404385086018,1.0984530370113854,-0.03529382440521776
-1.6363050662568357,0.6085304444782805,-0.20707622757854374
-0.9824741066502379,2.2595680487153875,1.2430744305853665
-1.7580280299653679,1.6839279623898435,0.9928154222821507
-1.9983680613501564,-0.7744825139195213,-0.5839645196286488
-2.1564467042040643,0.48368469738755154,-0.5126888566652007
-2.03568464414893,-0.9902573598651246,-0.700077336168343
-1.7955526108286373,0.9080278133679218,0.040582570695732484
-0.9662207347585198,1.9767432278934867,1.289161310834641
-2.0912503859771774,-0.3178076037889001,-0.560283452093354
-1.8917145103208395,0.4223650096607187,-0.497788927021066
-1.9986959414582823,-0.8876685049855461,-0.4758848828934973
-0.697136156005719,2.4568730388253273,1.5316148145020085
-1.8099524165803047,0.804971996475736,0.043791600617768156
-2.1487615821237696,0.8408752228165302,0.10653067916349857
-1.4798284742849543,1.007772894090393,0.34776044188958805
